booking_charge_desc,seriousness,category,type,notes,src,,,,,
HARASS/THREATEN BOD. INJ,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
HARASSMENT - THREATEN MAL ACT,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
HARASSMENT /DV,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
HARASSMENT,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
HARASSMENT-THREATEN BODILY INJURY,,class C felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=9a.46.020,,,,,
HIT/RUN ATT,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
HIT/RUN ATTND-DAMAGE ONLY,,gross misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
HIT/RUN PED,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.020,,,,,
HIT/RUN UNATT,,misdemeanor,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.52.010,,,,,
HOLD - ORDER OF RETRN,,other,other,,,,,,,
HOLD AFP (ARMY),,other,other,,,,,,,
HOLD AT&F,,other,other,,,,,,,
HOLD COMM CUSTODY,,other,other,,,,,,,
HOLD DEA,,other,other,,,,,,,
HOLD FBI,,other,other,,,,,,,
HOLD IMMIGRAT,,other,other,,,,,,,
HOLD MAT WITNESS,,other,other,,,,,,,
HOLD MISC,,other,other,,,,,,,
HOLD REMANN HALL,,other,other,,,,,,,
HOLD US MARSHAL,,other,other,,,,,,,
HOLD WSH,,other,other,,,,,,,
HOLD WSI,,other,other,,,,,,,
HUMAN TRAFFICKING 1,,class A felony,violent,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.40.100,,,,,
HUMAN TRAFFICKING 2,,class A felony,violent,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.40.100,,,,,
IDENT THEFT  2,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
IDENT THFT 1,,class B felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
IDENT THFT 2,,class C felony,public order,,http://app.leg.wa.gov/rcw/default.aspx?cite=9.35.020,,,,,
